EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   7.327  0.170  5.88    2.25    3.61    1.78    0.01    5.40 1.203E+04

  10.540  6.872  1.08    1.63    4.23    1.30    0.01    5.53  0.844
   7.151  0.170  6.16    2.17    4.22    1.71    0.01    5.94 9.867E+03

  10.540  7.151  1.14    1.59    4.73    1.25    0.01    5.98  0.841
   6.965  0.170  6.45    2.11    4.88    1.65    0.01    6.54 8.061E+03

  10.540  7.451  1.20    1.55    5.27    1.21    0.01    6.49  0.837
   6.769  0.170  6.75    2.07    5.60    1.60    0.01    7.20 6.555E+03

  10.540  7.772  1.27    1.54    5.86    1.18    0.01    7.05  0.834
   6.562  0.170  7.07    2.05    6.38    1.56    0.01    7.95 5.302E+03

  10.540  8.118  1.34    1.54    6.50    1.16    0.01    7.67  0.830
   6.344  0.170  7.41    2.05    7.23    1.54    0.01    8.78 4.265E+03

  10.540  8.494  1.41    1.56    7.21    1.15    0.01    8.37  0.826
   6.114  0.170  7.77    2.07    8.16    1.53    0.01    9.71 3.409E+03

  10.540  8.902  1.49    1.59    7.98    1.16    0.02    9.16  0.821
   5.871  0.170  8.15    2.12    9.18    1.55    0.02   10.75 2.707E+03

  10.540  9.350  1.57    1.66    8.83    1.19    0.02   10.04  0.817
   5.615  0.170  8.55    2.20   10.31    1.59    0.02   11.91 2.133E+03

  10.540  9.843  1.66    1.75    9.77    1.23    0.02   11.03  0.812
   5.345  0.170  8.97    2.32   11.56    1.65    0.02   13.23 1.668E+03

  10.540 10.390  1.75    1.89   10.82    1.31    0.03   12.16  0.807
   5.060  0.170  9.41    2.50   12.96    1.75    0.03   14.73 1.293E+03

  10.540 11.004  1.84    2.07   12.00    1.41    0.03   13.45  0.802
   4.760  0.170  9.88    2.74   14.53    1.90    0.03   16.46 9.920E+02

  10.540 11.700  1.95    2.32   13.35    1.57    0.04   14.95  0.796
   4.443  0.170 10.38    3.07   16.33    2.11    0.04   18.47 7.530E+02

  10.540 12.498  2.05    2.66   14.91    1.79    0.05   16.75  0.789
   4.109  0.170 10.90    3.53   18.42    2.40    0.05   20.87 5.645E+02

  10.540 13.428  2.16    3.14   16.77    2.11    0.06   18.94  0.782
   3.757  0.170 11.44    4.18   20.92    2.83    0.06   23.81 4.171E+02

  10.540 14.533  2.28    3.82   19.06    2.58    0.07   21.71  0.772
   3.385  0.170 12.02    5.12   23.99    3.47    0.07   27.54 3.030E+02

  10.540 15.881  2.41    4.84   21.97    3.32    0.09   25.38  0.760
   2.993  0.170 12.63    6.53   27.91    4.46    0.09   32.46 2.155E+02

  10.540 17.581  2.54    6.42   25.89    4.51    0.12   30.52  0.745
   2.580  0.170 13.28    8.77   33.18    6.06    0.12   39.37 1.491E+02

  10.540 19.829  2.68    9.09   31.56    6.60    0.17   38.33  0.724
   2.144  0.170 13.96   12.64   40.83    8.88    0.17   49.88 9.941E+01

  10.540 23.018  2.83   14.09   40.55   10.69    0.25   51.50  0.696
   1.684  0.170 14.67   20.06   52.96   14.39    0.25   67.61 6.263E+01

  10.540 28.112  2.98   25.15   56.72   20.16    0.42   77.30  0.655
   1.198  0.170 15.43   37.05   74.82   27.16    0.43  102.41 3.581E+01

  10.540 38.477  3.14   57.37   89.26   49.00    0.96  139.21  0.593
   0.687  0.170 16.23   89.04  119.01   66.31    0.98  186.30 1.652E+01

  10.540 93.980  3.31  165.48  157.54  167.04   39.31  363.89  0.563
   0.147  0.170 17.07  258.27  224.00  263.61   60.15  547.75 2.863E+00

  10.540  6.462  1.03    1.61    1.70    1.33    0.00    3.04  0.861
   7.666  0.190  5.25    2.14    0.90    1.74    0.00    2.64 1.428E+04

  10.540  6.706  1.08    1.54    2.10    1.26    0.00    3.36  0.860
   7.508  0.190  5.49    2.04    1.42    1.64    0.00    3.07 1.178E+04

  10.540  6.965  1.14    1.47    2.52    1.19    0.00    3.71  0.858
   7.342  0.190  5.74    1.95    1.97    1.56    0.00    3.54 9.698E+03

  10.540  7.240  1.20    1.42    2.96    1.13    0.00    4.10  0.855
   7.166  0.190  6.01    1.88    2.56    1.49    0.00    4.05 7.952E+03

  10.540  7.534  1.27    1.37    3.44    1.08    0.00    4.53  0.852
   6.981  0.190  6.29    1.82    3.18    1.43    0.00    4.61 6.496E+03

  10.540  7.849  1.34    1.34    3.95    1.04    0.00    4.99  0.849
   6.786  0.190  6.58    1.78    3.85    1.38    0.00    5.23 5.283E+03

  10.540  8.186  1.41    1.32    4.50    1.01    0.00    5.52  0.845
   6.580  0.190  6.90    1.75    4.57    1.34    0.00    5.92 4.275E+03

  10.540  8.550  1.49    1.32    5.09    0.99    0.01    6.09  0.841
   6.363  0.190  7.23    1.75    5.36    1.32    0.01    6.68 3.441E+03

