EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL


  10.540  9.158  2.41    7.37  -37.45   22.56    0.00  -14.90  3.075
   8.962  0.813  1.43    9.14  -42.03   21.99    0.00  -20.04 6.777E+02

  10.540  9.452  2.54    6.78  -35.63   20.60    0.00  -15.03  3.053
   8.875  0.813  1.46    8.42  -40.29   20.13    0.00  -20.17 5.397E+02

  10.540  9.759  2.68    6.24  -33.81   18.79    0.00  -15.02  3.028
   8.784  0.813  1.50    7.75  -38.56   18.39    0.00  -20.17 4.292E+02

  10.540 10.078  2.83    5.68  -32.11   16.95    0.00  -15.15  3.002
   8.687  0.813  1.53    7.06  -36.91   16.63    0.00  -20.28 3.427E+02

  10.540 10.413  2.98    5.16  -30.41   15.25    0.00  -15.16  2.974
   8.585  0.812  1.57    6.42  -35.28   14.99    0.00  -20.29 2.734E+02

  10.540 10.762  3.14    4.68  -28.85   13.68    0.00  -15.17  2.943
   8.478  0.812  1.61    5.83  -33.76   13.47    0.00  -20.29 2.179E+02

  10.540 11.129  3.32    4.23  -27.39   12.22    0.00  -15.17  2.911
   8.365  0.812  1.65    5.27  -32.33   12.06    0.00  -20.27 1.737E+02

  10.540 11.513  3.50    3.80  -26.00   10.83    0.00  -15.16  2.878
   8.245  0.812  1.69    4.73  -30.96   10.71    0.00  -20.25 1.386E+02

  10.540 11.917  3.69    3.41  -24.71    9.60    0.00  -15.11  2.844
   8.119  0.812  1.74    4.25  -29.68    9.52    0.00  -20.16 1.102E+02

  10.540 12.341  3.89    3.06  -23.49    8.49    0.00  -15.00  2.809
   7.986  0.812  1.78    3.82  -28.46    8.43    0.00  -20.03 8.752E+01

  10.540 12.789  4.10    2.74  -22.39    7.50    0.00  -14.89  2.772
   7.846  0.812  1.83    3.43  -27.34    7.47    0.00  -19.87 6.924E+01

  10.540 13.262  4.33    2.45  -21.38    6.61    0.00  -14.77  2.734
   7.698  0.811  1.89    3.07  -26.31    6.60    0.00  -19.71 5.466E+01

  10.540 13.763  4.56    2.20  -20.42    5.83    0.00  -14.59  2.694
   7.542  0.811  1.94    2.75  -25.31    5.83    0.00  -19.48 4.296E+01

  10.540 14.293  4.81    1.97  -19.53    5.14    0.00  -14.40  2.654
   7.378  0.811  2.00    2.47  -24.38    5.15    0.00  -19.23 3.362E+01

  10.540 14.858  5.08    1.77  -18.71    4.51    0.00  -14.20  2.611
   7.204  0.811  2.06    2.22  -23.51    4.54    0.00  -18.97 2.626E+01

  10.540 15.461  5.36    1.59  -17.92    3.97    0.00  -13.96  2.566
   7.021  0.811  2.13    1.99  -22.67    4.00    0.00  -18.67 2.042E+01

  10.540 16.105  5.65    1.43  -17.20    3.48    0.00  -13.71  2.519
   6.828  0.811  2.20    1.79  -21.89    3.52    0.00  -18.36 1.582E+01

  10.540 16.797  5.96    1.29  -16.56    3.06    0.00  -13.50  2.470
   6.625  0.811  2.27    1.62  -21.18    3.10    0.00  -18.08 1.221E+01

  10.540 17.543  6.28    1.16  -15.89    2.68    0.00  -13.21  2.417
   6.410  0.811  2.35    1.46  -20.45    2.72    0.00  -17.73 9.407E+00

  10.540 18.350  6.63    1.05  -15.32    2.34    0.00  -12.98  2.360
   6.184  0.811  2.43    1.32  -19.82    2.39    0.00  -17.43 7.223E+00

  10.540 19.228  6.99    0.95  -14.77    2.04    0.00  -12.73  2.297
   5.945  0.811  2.51    1.19  -19.20    2.09    0.00  -17.10 5.540E+00

  10.540 20.190  7.37    0.86  -14.22    1.77    0.00  -12.45  2.229
   5.693  0.811  2.60    1.08  -18.57    1.83    0.00  -16.75 4.240E+00

  10.540 21.248  7.78    0.79  -13.70    1.54    0.00  -12.17  2.154
   5.427  0.811  2.70    0.98  -17.98    1.59    0.00  -16.39 3.241E+00

  10.540 22.423  8.20    0.72  -13.19    1.33    0.00  -11.86  2.072
   5.147  0.811  2.80    0.90  -17.38    1.39    0.00  -15.99 2.468E+00

  10.540 23.737  8.65    0.67  -12.67    1.15    0.00  -11.52  1.979
   4.851  0.810  2.91    0.83  -16.78    1.21    0.00  -15.57 1.878E+00

  10.540 25.225  9.13    0.63  -12.15    1.00    0.00  -11.15  1.878
   4.540  0.811  3.01    0.78  -16.16    1.05    0.00  -15.11 1.421E+00

  10.540 26.929  9.63    0.60  -11.65    0.86    0.00  -10.79  1.765
   4.211  0.810  3.13    0.74  -15.57    0.92    0.00  -14.65 1.073E+00

  10.540 28.911 10.15    0.58  -11.42    0.75    0.00  -10.66  1.640
   3.864  0.810  3.26    0.72  -15.30    0.81    0.00  -14.49 8.071E-01

  10.540 31.262 10.71    0.58  -12.86    0.66    0.00  -12.20  1.503
   3.498  0.810  3.39    0.72  -17.02    0.73    0.00  -16.29 6.032E-01

  10.540  5.689  1.03   18.76  -66.93   51.49    0.00  -15.43  2.759
   9.888  0.839  1.08   23.02  -69.57   48.57    0.00  -21.00 2.738E+04

  10.540  5.854  1.08   18.07  -65.93   50.54    0.00  -15.39  2.794
   9.852  0.839  1.09   22.21  -68.66   47.74    0.00  -20.92 2.186E+04

  10.540  6.023  1.14   17.59  -64.78   49.46    0.00  -15.31  2.826
   9.814  0.838  1.10   21.59  -67.61   46.80    0.00  -20.81 1.743E+04

  10.540  6.199  1.20   16.88  -63.37   48.18    0.00  -15.19  2.868
   9.773  0.837  1.12   20.73  -66.32   45.67    0.00  -20.65 1.387E+04

  10.540  6.380  1.27   16.33  -62.08   46.98    0.00  -15.10  2.890
   9.731  0.837  1.13   20.07  -65.14   44.61    0.00  -20.53 1.101E+04

  10.540  6.568  1.34   15.69  -60.65   45.58    0.00  -15.08  2.918
   9.686  0.836  1.14   19.29  -63.82   43.35    0.00  -20.47 8.738E+03

  10.540  6.762  1.41   15.11  -59.23   44.16    0.00  -15.07  2.936
   9.639  0.836  1.16   18.58  -62.50   42.07    0.00  -20.43 6.919E+03

  10.540  6.963  1.49   14.48  -57.57   42.62    0.00  -14.95  2.956
   9.589  0.835  1.17   17.81  -60.96   40.67    0.00  -20.30 5.471E+03

  10.540  7.171  1.57   13.91  -56.03   41.07    0.00  -14.96  2.966
   9.537  0.835  1.19   17.12  -59.53   39.25    0.00  -20.28 4.321E+03

  10.540  7.386  1.66   13.31  -54.37   39.41    0.00  -14.96  2.973
   9.482  0.835  1.21   16.39  -57.98   37.73    0.00  -20.25 3.411E+03

  10.540  7.609  1.75   12.63  -52.51   37.55    0.00  -14.95  2.986
   9.423  0.834  1.23   15.56  -56.24   36.02    0.00  -20.22 2.692E+03

  10.540  7.841  1.84   12.04  -50.73   35.79    0.00  -14.93  2.985
   9.362  0.835  1.25   14.84  -54.57   34.39    0.00  -20.19 2.121E+03

  10.540  8.081  1.95   11.40  -48.84   33.89    0.00  -14.96  2.986
   9.297  0.834  1.27   14.05  -52.81   32.61    0.00  -20.20 1.672E+03

  10.540  8.330  2.05   10.79  -46.98   32.02    0.00  -14.96  2.981
   9.229  0.834  1.29   13.31  -51.05   30.87    0.00  -20.19 1.316E+03

  10.540  8.589  2.16   10.10  -44.92   29.96    0.00  -14.96  2.979
   9.156  0.833  1.31   12.47  -49.10   28.93    0.00  -20.17 1.039E+03

  10.540  8.858  2.28    9.45  -43.00   27.94    0.00  -15.05  2.970
   9.080  0.833  1.34   11.67  -47.29   27.03    0.00  -20.26 8.203E+02

  10.540  9.139  2.41    8.82  -41.08   25.96    0.00  -15.13  2.957
   9.000  0.833  1.36   10.90  -45.48   25.16    0.00  -20.32 6.476E+02

  10.540  9.431  2.54    8.16  -39.07   23.91    0.00  -15.16  2.944
   8.915  0.833  1.39   10.09  -43.57   23.22    0.00  -20.35 5.126E+02

  10.540  9.735  2.68    7.54  -37.18   21.94    0.00  -15.24  2.926
   8.826  0.833  1.42    9.33  -41.77   21.34    0.00  -20.43 4.060E+02

  10.540 10.052  2.83    6.92  -35.34   20.02    0.00  -15.32  2.907
   8.732  0.833  1.45    8.57  -40.01   19.50    0.00  -20.51 3.218E+02

  10.540 10.384  2.98    6.31  -33.45   18.11    0.00  -15.34  2.889
   8.632  0.832  1.48    7.81  -38.20   17.68    0.00  -20.52 2.557E+02

  10.540 10.731  3.14    5.76  -31.78   16.39    0.00  -15.39  2.865
   8.528  0.833  1.51    7.14  -36.59   16.03    0.00  -20.56 2.027E+02

  10.540 11.094  3.32    5.20  -30.11   14.69    0.00  -15.42  2.842
   8.417  0.832  1.55    6.46  -34.97   14.40    0.00  -20.58 1.612E+02

  10.540 11.474  3.50    4.71  -28.58   13.17    0.00  -15.41  2.816
   8.301  0.832  1.58    5.85  -33.48   12.93    0.00  -20.56 1.278E+02

  10.540 11.874  3.69    4.24  -27.13   11.74    0.00  -15.39  2.790
   8.178  0.832  1.62    5.27  -32.06   11.55    0.00  -20.51 1.013E+02

  10.540 12.294  3.89    3.81  -25.74   10.42    0.00  -15.31  2.763
   8.048  0.832  1.67    4.74  -30.68   10.28    0.00  -20.40 8.021E+01

  10.540 12.736  4.10    3.41  -24.49    9.23    0.00  -15.25  2.734
   7.911  0.832  1.71    4.25  -29.43    9.12    0.00  -20.31 6.341E+01

  10.540 13.203  4.33    3.06  -23.31    8.19    0.00  -15.12  2.704
   7.767  0.832  1.76    3.82  -28.25    8.11    0.00  -20.14 4.988E+01

  10.540 13.697  4.56    2.75  -22.20    7.25    0.00  -14.95  2.673
   7.615  0.832  1.80    3.43  -27.12    7.19    0.00  -19.93 3.912E+01

  10.540 14.220  4.81    2.46  -21.18    6.39    0.00  -14.79  2.641
   7.454  0.831  1.86    3.07  -26.07    6.36    0.00  -19.71 3.064E+01

  10.540 14.775  5.08    2.21  -20.27    5.65    0.00  -14.62  2.607
   7.285  0.831  1.91    2.76  -25.13    5.63    0.00  -19.49 2.386E+01

  10.540 15.367  5.36    1.98  -19.40    4.98    0.00  -14.42  2.572
   7.106  0.831  1.97    2.47  -24.21    4.97    0.00  -19.23 1.854E+01

  10.540 16.000  5.65    1.78  -18.61    4.39    0.00  -14.22  2.534
   6.918  0.831  2.03    2.22  -23.37    4.40    0.00  -18.97 1.433E+01

  10.540 16.677  5.96    1.59  -17.82    3.86    0.00  -13.96  2.494
   6.719  0.831  2.09    1.99  -22.53    3.88    0.00  -18.65 1.106E+01

  10.540 17.407  6.28    1.43  -17.13    3.40    0.00  -13.73  2.451
   6.510  0.831  2.16    1.80  -21.78    3.43    0.00  -18.35 8.491E+00

  10.540 18.195  6.63    1.29  -16.47    2.98    0.00  -13.49  2.404
   6.289  0.831  2.23    1.62  -21.06    3.02    0.00  -18.04 6.508E+00

  10.540 19.050  6.99    1.16  -15.86    2.61    0.00  -13.25  2.354
   6.056  0.831  2.30    1.46  -20.38    2.65    0.00  -17.73 4.978E+00

  10.540 19.983  7.37    1.05  -15.27    2.27    0.00  -12.99  2.298
   5.810  0.831  2.38    1.31  -19.72    2.32    0.00  -17.40 3.802E+00

  10.540 21.008  7.78    0.95  -14.70    1.98    0.00  -12.72  2.236
   5.551  0.831  2.46    1.19  -19.09    2.03    0.00  -17.06 2.896E+00

  10.540 22.141  8.20    0.86  -14.15    1.71    0.00  -12.44  2.166
   5.277  0.831  2.55    1.08  -18.46    1.76    0.00  -16.69 2.206E+00

  10.540 23.404  8.65    0.79  -13.60    1.48    0.00  -12.12  2.089
   4.989  0.831  2.64    0.98  -17.83    1.54    0.00  -16.29 1.674E+00

  10.540 24.826  9.12    0.72  -13.04    1.28    0.00  -11.76  1.999
   4.684  0.830  2.74    0.90  -17.18    1.33    0.00  -15.85 1.272E+00

  10.540 26.445  9.63    0.67  -12.54    1.10    0.00  -11.43  1.901
   4.364  0.831  2.84    0.84  -16.60    1.16    0.00  -15.44 9.593E-01

  10.540 28.315 10.15    0.64  -12.25    0.95    0.00  -11.30  1.788
   4.025  0.830  2.95    0.79  -16.27    1.01    0.00  -15.26 7.247E-01

  10.540 30.511 10.71    0.61  -13.58    0.83    0.00  -12.76  1.662
   3.668  0.830  3.07    0.76  -17.86    0.88    0.00  -16.98 5.442E-01

  10.540  5.685  1.03   21.45  -69.20   53.30    0.00  -15.91  2.498
   9.903  0.859  1.05   26.25  -71.67   50.09    0.00  -21.59 2.773E+04

  10.540  5.849  1.08   20.73  -68.37   52.53    0.00  -15.84  2.532
   9.868  0.859  1.06   25.41  -70.92   49.44    0.00  -21.48 2.210E+04

  10.540  6.018  1.14   20.25  -67.38   51.68    0.00  -15.70  2.566
   9.831  0.858  1.07   24.78  -70.03   48.71    0.00  -21.32 1.757E+04

  10.540  6.193  1.20   19.63  -66.38   50.70    0.00  -15.68  2.596
   9.792  0.858  1.08   24.03  -69.11   47.85    0.00  -21.26 1.396E+04

  10.540  6.374  1.27   18.86  -65.14   49.50    0.00  -15.64  2.638
   9.750  0.857  1.09   23.09  -67.97   46.80    0.00  -21.17 1.107E+04

  10.540  6.561  1.34   18.30  -63.94   48.40    0.00  -15.55  2.657
   9.707  0.857  1.10   22.42  -66.87   45.82    0.00  -21.05 8.753E+03

  10.540  6.754  1.41   17.65  -62.58   47.14    0.00  -15.44  2.683
   9.661  0.857  1.12   21.63  -65.62   44.70    0.00  -20.92 6.910E+03

  10.540  6.955  1.49   16.92  -61.09   45.67    0.00  -15.42  2.712
   9.612  0.856  1.13   20.74  -64.24   43.38    0.00  -20.86 5.453E+03

  10.540  7.162  1.57   16.28  -59.65   44.23    0.00  -15.42  2.730
   9.561  0.856  1.15   19.97  -62.90   42.08    0.00  -20.82 4.293E+03

  10.540  7.376  1.66   15.60  -57.95   42.65    0.00  -15.30  2.746
   9.507  0.856  1.16   19.14  -61.33   40.64    0.00  -20.69 3.377E+03

  10.540  7.598  1.75   14.92  -56.24   40.99    0.00  -15.26  2.760
   9.450  0.855  1.18   18.31  -59.73   39.11    0.00  -20.62 2.654E+03

  10.540  7.829  1.85   14.24  -54.51   39.25    0.00  -15.26  2.770
   9.390  0.855  1.19   17.48  -58.12   37.52    0.00  -20.60 2.083E+03

  10.540  8.068  1.95   13.48  -52.60   37.34    0.00  -15.26  2.783
   9.326  0.854  1.21   16.56  -56.33   35.76    0.00  -20.57 1.637E+03

  10.540  8.316  2.05   12.84  -50.82   35.55    0.00  -15.28  2.780
   9.260  0.854  1.23   15.79  -54.66   34.09    0.00  -20.57 1.283E+03

  10.540  8.574  2.16   12.09  -48.84   33.53    0.00  -15.32  2.786
   9.189  0.854  1.25   14.87  -52.80   32.20    0.00  -20.60 1.008E+03

  10.540  8.842  2.28   11.41  -46.88   31.59    0.00  -15.29  2.782
   9.115  0.854  1.27   14.04  -50.95   30.39    0.00  -20.56 7.898E+02

  10.540  9.120  2.41   10.64  -44.79   29.46    0.00  -15.32  2.783
   9.036  0.853  1.29   13.10  -48.98   28.40    0.00  -20.58 6.214E+02

  10.540  9.410  2.54    9.96  -42.86   27.48    0.00  -15.39  2.772
   8.954  0.853  1.32   12.27  -47.16   26.52    0.00  -20.64 4.880E+02

  10.540  9.713  2.68    9.25  -40.88   25.41    0.00  -15.47  2.762
   8.867  0.853  1.34   11.40  -45.28   24.57    0.00  -20.71 3.843E+02

  10.540 10.028  2.83    8.53  -38.87   23.35    0.00  -15.52  2.752
   8.775  0.853  1.37   10.52  -43.37   22.62    0.00  -20.75 3.031E+02

  10.540 10.357  2.98    7.84  -36.87   21.36    0.00  -15.51  2.739
   8.678  0.853  1.39    9.68  -41.47   20.73    0.00  -20.74 2.390E+02

  10.540 10.701  3.14    7.14  -34.98   19.36    0.00  -15.62  2.728
   8.575  0.852  1.42    8.82  -39.66   18.82    0.00  -20.84 1.891E+02

  10.540 11.061  3.32    6.50  -33.15   17.51    0.00  -15.64  2.713
   8.467  0.852  1.46    8.03  -37.90   17.05    0.00  -20.84 1.495E+02

  10.540 11.438  3.50    5.88  -31.41   15.76    0.00  -15.65  2.696
   8.353  0.852  1.49    7.28  -36.22   15.38    0.00  -20.85 1.182E+02

  10.540 11.833  3.69    5.32  -29.80   14.14    0.00  -15.66  2.678
   8.233  0.852  1.52    6.59  -34.66   13.82    0.00  -20.83 9.329E+01

  10.540 12.249  3.89    4.81  -28.28   12.68    0.00  -15.60  2.656
   8.107  0.852  1.56    5.96  -33.17   12.42    0.00  -20.75 7.346E+01

  10.540 12.686  4.10    4.32  -26.86   11.28    0.00  -15.57  2.637
   7.973  0.852  1.59    5.35  -31.76   11.07    0.00  -20.69 5.792E+01

  10.540 13.148  4.33    3.88  -25.47   10.04    0.00  -15.43  2.615
   7.832  0.852  1.63    4.81  -30.39    9.87    0.00  -20.52 4.547E+01

  10.540 13.635  4.56    3.49  -24.27    8.94    0.00  -15.32  2.591
   7.684  0.852  1.68    4.33  -29.18    8.81    0.00  -20.38 3.557E+01

  10.540 14.151  4.81    3.13  -23.10    7.93    0.00  -15.17  2.568
   7.527  0.852  1.72    3.89  -28.01    7.83    0.00  -20.18 2.778E+01

  10.540 14.698  5.08    2.81  -22.08    7.04    0.00  -15.05  2.542
   7.362  0.852  1.77    3.49  -26.96    6.96    0.00  -20.00 2.159E+01

  10.540 15.280  5.36    2.51  -21.05    6.22    0.00  -14.84  2.517
   7.187  0.851  1.82    3.13  -25.90    6.16    0.00  -19.74 1.676E+01

  10.540 15.901  5.65    2.25  -20.13    5.50    0.00  -14.63  2.489
   7.003  0.851  1.87    2.81  -24.94    5.47    0.00  -19.48 1.294E+01

  10.540 16.566  5.96    2.02  -19.29    4.86    0.00  -14.44  2.459
   6.809  0.851  1.92    2.52  -24.06    4.84    0.00  -19.21 9.960E+00

  10.540 17.280  6.28    1.82  -18.51    4.30    0.00  -14.21  2.426
   6.605  0.851  1.98    2.27  -23.22    4.29    0.00  -18.93 7.627E+00

  10.540 18.050  6.63    1.63  -17.78    3.78    0.00  -14.00  2.391
   6.389  0.851  2.04    2.04  -22.44    3.79    0.00  -18.65 5.838E+00

  10.540 18.884  6.99    1.46  -17.08    3.32    0.00  -13.76  2.352
   6.161  0.851  2.11    1.83  -21.68    3.34    0.00  -18.35 4.458E+00

  10.540 19.792  7.37    1.31  -16.41    2.91    0.00  -13.50  2.309
   5.921  0.851  2.18    1.64  -20.95    2.93    0.00  -18.02 3.394E+00

  10.540 20.786  7.78    1.18  -15.78    2.54    0.00  -13.24  2.261
   5.668  0.851  2.25    1.48  -20.25    2.57    0.00  -17.68 2.579E+00

  10.540 21.882  8.20    1.06  -15.18    2.21    0.00  -12.97  2.206
   5.401  0.851  2.32    1.33  -19.58    2.25    0.00  -17.34 1.958E+00

  10.540 23.099  8.65    0.96  -14.60    1.91    0.00  -12.69  2.144
   5.119  0.850  2.40    1.20  -18.93    1.95    0.00  -16.98 1.487E+00

  10.540 24.462  9.12    0.87  -14.01    1.65    0.00  -12.36  2.073
   4.822  0.850  2.49    1.09  -18.27    1.69    0.00  -16.57 1.127E+00

  10.540 26.007  9.62    0.79  -13.45    1.42    0.00  -12.03  1.992
   4.509  0.850  2.57    0.99  -17.63    1.47    0.00  -16.17 8.519E-01

  10.540 27.779 10.15    0.73  -13.12    1.22    0.00  -11.90  1.898
   4.179  0.851  2.66    0.91  -17.26    1.27    0.00  -15.99 6.428E-01

  10.540 29.844 10.71    0.68  -14.32    1.04    0.00  -13.28  1.790
   3.830  0.850  2.76    0.85  -18.71    1.10    0.00  -17.61 4.853E-01

  10.540  5.680  1.03   25.20  -71.34   54.87    0.00  -16.47  2.192
   9.918  0.880  1.02   30.72  -73.65   51.38    0.00  -22.28 2.808E+04

  10.540  5.844  1.08   24.59  -70.67   54.30    0.00  -16.36  2.222
   9.884  0.880  1.03   29.99  -73.05   50.92    0.00  -22.13 2.234E+04

  10.540  6.013  1.14   23.66  -69.75   53.51    0.00  -16.24  2.275
   9.847  0.878  1.04   28.87  -72.21   50.25    0.00  -21.96 1.773E+04

  10.540  6.188  1.20   23.02  -68.87   52.75    0.00  -16.12  2.304
   9.809  0.878  1.05   28.09  -71.41   49.61    0.00  -21.81 1.405E+04

  10.540  6.368  1.27   22.38  -67.95   51.87    0.00  -16.08  2.331
   9.769  0.878  1.06   27.31  -70.58   48.85    0.00  -21.73 1.111E+04

  10.540  6.555  1.34   21.55  -66.78   50.78    0.00  -16.00  2.370
   9.726  0.877  1.07   26.30  -69.51   47.89    0.00  -21.61 8.777E+03

  10.540  6.747  1.41   20.80  -65.61   49.64    0.00  -15.97  2.400
   9.681  0.877  1.08   25.40  -68.43   46.89    0.00  -21.55 6.917E+03

  10.540  6.947  1.49   20.15  -64.36   48.50    0.00  -15.86  2.419
   9.634  0.877  1.09   24.61  -67.28   45.87    0.00  -21.41 5.437E+03

  10.540  7.153  1.57   19.40  -63.01   47.16    0.00  -15.85  2.444
   9.584  0.877  1.10   23.71  -66.03   44.67    0.00  -21.36 4.270E+03

  10.540  7.367  1.66   18.60  -61.45   45.70    0.00  -15.75  2.469
   9.531  0.876  1.12   22.74  -64.59   43.35    0.00  -21.24 3.349E+03

  10.540  7.588  1.75   17.80  -59.83   44.14    0.00  -15.69  2.492
   9.475  0.875  1.13   21.77  -63.08   41.94    0.00  -21.14 2.622E+03

  10.540  7.818  1.84   16.98  -58.10   42.44    0.00  -15.67  2.511
   9.416  0.875  1.14   20.77  -61.48   40.38    0.00  -21.10 2.054E+03

  10.540  8.056  1.95   16.33  -56.52   40.85    0.00  -15.67  2.513
   9.355  0.875  1.16   19.99  -59.99   38.92    0.00  -21.07 1.604E+03

  10.540  8.303  2.05   15.46  -54.55   38.94    0.00  -15.61  2.532
   9.289  0.874  1.18   18.93  -58.16   37.16    0.00  -20.99 1.254E+03

  10.540  8.559  2.16   14.65  -52.66   37.05    0.00  -15.61  2.541
   9.220  0.874  1.19   17.95  -56.38   35.41    0.00  -20.97 9.795E+02

  10.540  8.826  2.28   13.91  -50.80   35.16    0.00  -15.64  2.540
   9.148  0.874  1.21   17.05  -54.64   33.66    0.00  -20.98 7.644E+02

  10.540  9.103  2.41   13.06  -48.74   33.08    0.00  -15.66  2.546
   9.071  0.874  1.23   16.01  -52.70   31.72    0.00  -20.98 5.980E+02

  10.540  9.391  2.54   12.23  -46.64   31.01    0.00  -15.63  2.548
   8.990  0.873  1.25   15.01  -50.72   29.78    0.00  -20.94 4.674E+02

  10.540  9.691  2.68   11.35  -44.61   28.92    0.00  -15.68  2.545
   8.905  0.873  1.27   13.96  -48.80   27.82    0.00  -20.99 3.659E+02

  10.540 10.005  2.83   10.59  -42.59   26.78    0.00  -15.81  2.542
   8.815  0.873  1.29   13.01  -46.89   25.80    0.00  -21.10 2.870E+02

  10.540 10.331  2.98    9.83  -40.56   24.75    0.00  -15.81  2.531
   8.721  0.873  1.31   12.08  -44.97   23.88    0.00  -21.09 2.248E+02

  10.540 10.672  3.14    9.03  -38.60   22.67    0.00  -15.92  2.525
   8.621  0.873  1.34   11.11  -43.10   21.91    0.00  -21.19 1.766E+02

  10.540 11.029  3.32    8.24  -36.49   20.65    0.00  -15.84  2.520
   8.515  0.872  1.36   10.15  -41.10   19.99    0.00  -21.11 1.389E+02

  10.540 11.403  3.50    7.52  -34.64   18.76    0.00  -15.87  2.509
   8.404  0.872  1.39    9.27  -39.32   18.19    0.00  -21.12 1.090E+02

  10.540 11.795  3.69    6.84  -32.88   16.97    0.00  -15.91  2.496
   8.287  0.872  1.42    8.44  -37.63   16.48    0.00  -21.14 8.563E+01

  10.540 12.207  3.89    6.18  -31.14   15.26    0.00  -15.88  2.486
   8.163  0.872  1.45    7.63  -35.94   14.85    0.00  -21.09 6.729E+01

  10.540 12.639  4.10    5.57  -29.51   13.67    0.00  -15.84  2.475
   8.032  0.872  1.48    6.87  -34.35   13.33    0.00  -21.02 5.283E+01

  10.540 13.095  4.33    5.03  -28.01   12.27    0.00  -15.75  2.459
   7.895  0.872  1.52    6.22  -32.88   11.98    0.00  -20.90 4.128E+01

  10.540 13.576  4.56    4.50  -26.61   10.92    0.00  -15.69  2.447
   7.749  0.871  1.55    5.57  -31.49   10.68    0.00  -20.81 3.232E+01

  10.540 14.085  4.81    4.05  -25.32    9.74    0.00  -15.58  2.431
   7.596  0.871  1.59    5.01  -30.20    9.55    0.00  -20.65 2.515E+01

  10.540 14.625  5.08    3.64  -24.10    8.69    0.00  -15.41  2.413
   7.435  0.872  1.63    4.51  -28.98    8.54    0.00  -20.44 1.949E+01

  10.540 15.198  5.36    3.26  -22.95    7.71    0.00  -15.23  2.397
   7.264  0.871  1.67    4.04  -27.81    7.59    0.00  -20.21 1.509E+01

  10.540 15.809  5.65    2.93  -21.94    6.87    0.00  -15.07  2.376
   7.085  0.871  1.71    3.64  -26.77    6.78    0.00  -19.99 1.161E+01

  10.540 16.462  5.96    2.62  -20.97    6.09    0.00  -14.88  2.357
   6.895  0.871  1.76    3.26  -25.77    6.02    0.00  -19.75 8.925E+00

  10.540 17.162  6.28    2.35  -20.05    5.40    0.00  -14.66  2.335
   6.695  0.871  1.81    2.93  -24.81    5.35    0.00  -19.46 6.830E+00

  10.540 17.916  6.63    2.12  -19.26    4.79    0.00  -14.47  2.309
   6.485  0.871  1.86    2.64  -23.97    4.76    0.00  -19.21 5.199E+00

  10.540 18.730  6.99    1.89  -18.44    4.22    0.00  -14.22  2.283
   6.262  0.871  1.92    2.36  -23.11    4.20    0.00  -18.90 3.962E+00

  10.540 19.615  7.37    1.70  -17.72    3.72    0.00  -14.00  2.252
   6.028  0.871  1.97    2.12  -22.33    3.72    0.00  -18.62 3.004E+00

  10.540 20.581  7.78    1.52  -17.01    3.25    0.00  -13.76  2.218
   5.780  0.871  2.04    1.90  -21.56    3.26    0.00  -18.30 2.282E+00

  10.540 21.643  8.20    1.36  -16.33    2.84    0.00  -13.49  2.179
   5.519  0.871  2.10    1.70  -20.83    2.86    0.00  -17.97 1.729E+00

  10.540 22.819  8.65    1.22  -15.68    2.47    0.00  -13.21  2.134
   5.244  0.871  2.17    1.52  -20.11    2.49    0.00  -17.61 1.308E+00

  10.540 24.130  9.13    1.09  -15.06    2.13    0.00  -12.93  2.081
   4.954  0.871  2.24    1.36  -19.42    2.17    0.00  -17.25 9.891E-01

  10.540 25.609  9.63    0.98  -14.45    1.84    0.00  -12.61  2.019
   4.648  0.871  2.31    1.22  -18.74    1.87    0.00  -16.86 7.482E-01

  10.540 27.296 10.15    0.88  -14.04    1.57    0.00  -12.47  1.947
   4.325  0.870  2.39    1.10  -18.29    1.61    0.00  -16.68 5.663E-01

  10.540 29.247 10.71    0.80  -15.11    1.34    0.00  -13.77  1.862
   3.984  0.870  2.48    0.99  -19.58    1.38    0.00  -18.20 4.290E-01

  10.540  5.676  1.03   30.33  -73.12   56.13    0.00  -16.99  1.865
   9.932  0.900  0.99   36.85  -75.31   52.39    0.00  -22.92 2.837E+04

  10.540  5.840  1.08   29.31  -72.53   55.64    0.00  -16.89  1.912
   9.898  0.899  1.00   35.62  -74.77   52.01    0.00  -22.77 2.254E+04

