                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   2.5800  17.5813  0.65750E+02  0.86281E+02  0.17654E+00  0.83051E+02  0.89984E+02  0.17707E+00  0.86099E+02
   10.5400   2.1440  19.8289  0.43848E+02  0.61044E+02  0.16404E+00  0.57893E+02  0.64256E+02  0.16465E+00  0.60464E+02
   10.5400   1.6840  23.0183  0.27641E+02  0.42190E+02  0.15415E+00  0.38980E+02  0.45005E+02  0.15484E+00  0.41138E+02
   10.5400   1.1980  28.1120  0.15814E+02  0.28292E+02  0.14985E+00  0.24838E+02  0.30794E+02  0.15100E+00  0.26625E+02
   10.5400   0.6870  38.4765  0.72998E+01  0.17691E+02  0.16110E+00  0.13804E+02  0.19865E+02  0.16619E+00  0.15148E+02
   10.5400   0.1470  93.9802  0.12611E+01  0.68527E+01  0.13633E+01  0.32573E+01  0.87904E+01  0.19072E+01  0.37756E+01
   10.5400   7.6660   6.4620  0.62643E+04  0.64687E+04  0.44399E+00  0.63823E+04  0.64641E+04  0.43994E+00  0.63620E+04
   10.5400   7.5080   6.7061  0.51737E+04  0.53592E+04  0.40315E+00  0.52917E+04  0.53586E+04  0.39973E+00  0.52787E+04
   10.5400   7.3420   6.9650  0.42606E+04  0.44282E+04  0.36563E+00  0.43755E+04  0.44305E+04  0.36276E+00  0.43680E+04
   10.5400   7.1660   7.2405  0.34954E+04  0.36464E+04  0.33250E+00  0.36053E+04  0.36510E+04  0.33009E+00  0.36021E+04
   10.5400   6.9810   7.5343  0.28567E+04  0.29922E+04  0.30201E+00  0.29600E+04  0.29982E+04  0.30002E+00  0.29599E+04
   10.5400   6.7860   7.8487  0.23243E+04  0.24455E+04  0.27430E+00  0.24202E+04  0.24524E+04  0.27266E+00  0.24223E+04
   10.5400   6.5800   8.1863  0.18816E+04  0.19896E+04  0.24942E+00  0.19698E+04  0.19972E+04  0.24809E+00  0.19734E+04
   10.5400   6.3630   8.5502  0.15151E+04  0.16109E+04  0.22670E+00  0.15952E+04  0.16186E+04  0.22563E+00  0.15999E+04
   10.5400   6.1340   8.9443  0.12126E+04  0.12972E+04  0.20614E+00  0.12847E+04  0.13049E+04  0.20530E+00  0.12900E+04
   10.5400   5.8930   9.3731  0.96434E+03  0.10385E+04  0.18724E+00  0.10286E+04  0.10460E+04  0.18659E+00  0.10341E+04
   10.5400   5.6380   9.8424  0.76139E+03  0.82615E+03  0.17044E+00  0.81815E+03  0.83328E+03  0.16996E+00  0.82366E+03
   10.5400   5.3690  10.3594  0.59653E+03  0.65267E+03  0.15522E+00  0.64617E+03  0.65931E+03  0.15488E+00  0.65150E+03
   10.5400   5.0860  10.9333  0.46345E+03  0.51179E+03  0.14113E+00  0.50646E+03  0.51788E+03  0.14091E+00  0.51147E+03
   10.5400   4.7870  11.5759  0.35671E+03  0.39807E+03  0.12856E+00  0.39365E+03  0.40360E+03  0.12844E+00  0.39827E+03
   10.5400   4.4720  12.3031  0.27172E+03  0.30687E+03  0.11707E+00  0.30314E+03  0.31181E+03  0.11704E+00  0.30732E+03
   10.5400   4.1390  13.1367  0.20454E+03  0.23424E+03  0.10690E+00  0.23105E+03  0.23862E+03  0.10694E+00  0.23478E+03
   10.5400   3.7880  14.1068  0.15190E+03  0.17687E+03  0.97709E-01  0.17408E+03  0.18072E+03  0.97807E-01  0.17737E+03
   10.5400   3.4180  15.2581  0.11100E+03  0.13189E+03  0.89403E-01  0.12941E+03  0.13525E+03  0.89550E-01  0.13227E+03
   10.5400   3.0280  16.6585  0.79517E+02  0.96957E+02  0.81946E-01  0.94687E+02  0.99883E+02  0.82134E-01  0.97149E+02
   10.5400   2.6170  18.4191  0.55522E+02  0.70034E+02  0.75273E-01  0.67890E+02  0.72568E+02  0.75494E-01  0.69985E+02
   10.5400   2.1830  20.7361  0.37427E+02  0.49673E+02  0.69667E-01  0.47564E+02  0.51900E+02  0.69919E-01  0.49358E+02
   10.5400   1.7250  24.0009  0.23929E+02  0.34371E+02  0.65220E-01  0.32192E+02  0.36348E+02  0.65502E-01  0.33720E+02
   10.5400   1.2420  29.1501  0.13973E+02  0.23046E+02  0.62588E-01  0.20657E+02  0.24835E+02  0.62970E-01  0.21948E+02
   10.5400   0.7330  39.3274  0.67073E+01  0.14609E+02  0.67712E-01  0.11822E+02  0.16239E+02  0.70175E-01  0.12857E+02
   10.5400   0.1950  84.0121  0.14597E+01  0.62149E+01  0.39637E+00  0.35166E+01  0.73744E+01  0.55272E+00  0.39129E+01
   10.5400   7.9400   6.3492  0.72048E+04  0.73135E+04  0.24492E+00  0.72147E+04  0.72851E+04  0.24239E+00  0.71687E+04
   10.5400   7.7980   6.5803  0.59715E+04  0.60783E+04  0.22033E+00  0.60013E+04  0.60580E+04  0.21819E+00  0.59672E+04
   10.5400   7.6470   6.8244  0.49364E+04  0.50399E+04  0.19918E+00  0.49801E+04  0.50259E+04  0.19737E+00  0.49552E+04
   10.5400   7.4880   7.0829  0.40706E+04  0.41690E+04  0.17999E+00  0.41225E+04  0.41600E+04  0.17847E+00  0.41049E+04
   10.5400   7.3210   7.3572  0.33475E+04  0.34398E+04  0.16240E+00  0.34036E+04  0.34345E+04  0.16113E+00  0.33916E+04
   10.5400   7.1440   7.6491  0.27433E+04  0.28292E+04  0.14697E+00  0.28011E+04  0.28268E+04  0.14591E+00  0.27934E+04
   10.5400   6.9580   7.9606  0.22398E+04  0.23190E+04  0.13278E+00  0.22971E+04  0.23188E+04  0.13191E+00  0.22927E+04
   10.5400   6.7620   8.2940  0.18209E+04  0.18935E+04  0.11995E+00  0.18764E+04  0.18948E+04  0.11923E+00  0.18744E+04
   10.5400   6.5540   8.6522  0.14730E+04  0.15392E+04  0.10881E+00  0.15258E+04  0.15417E+04  0.10823E+00  0.15257E+04
   10.5400   6.3360   9.0386  0.11854E+04  0.12452E+04  0.98316E-01  0.12347E+04  0.12484E+04  0.97856E-01  0.12358E+04
   10.5400   6.1050   9.4572  0.94840E+03  0.10020E+04  0.89144E-01  0.99374E+03  0.10058E+04  0.88784E-01  0.99580E+03
