                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   1.1980  28.1120  0.85583E+02  0.14983E+03  0.84359E-01  0.13327E+03  0.17998E+03  0.85555E-01  0.15514E+03
   10.5400   0.6870  38.4765  0.39278E+02  0.92268E+02  0.92214E-01  0.73829E+02  0.11813E+03  0.93922E-01  0.90369E+02
   10.5400   0.1470  93.9802  0.66484E+01  0.28382E+02  0.39870E+00  0.17249E+02  0.42673E+02  0.65622E+00  0.23376E+02
   10.5400   7.6660   6.4620  0.34986E+05  0.35956E+05  0.25344E+00  0.35517E+05  0.35635E+05  0.24693E+00  0.35001E+05
   10.5400   7.5080   6.7061  0.28841E+05  0.29744E+05  0.23074E+00  0.29402E+05  0.29528E+05  0.22521E+00  0.29032E+05
   10.5400   7.3420   6.9650  0.23709E+05  0.24538E+05  0.21041E+00  0.24271E+05  0.24402E+05  0.20573E+00  0.24014E+05
   10.5400   7.1660   7.2405  0.19418E+05  0.20176E+05  0.19227E+00  0.19967E+05  0.20102E+05  0.18834E+00  0.19798E+05
   10.5400   6.9810   7.5343  0.15844E+05  0.16532E+05  0.17561E+00  0.16369E+05  0.16504E+05  0.17232E+00  0.16266E+05
   10.5400   6.7860   7.8487  0.12872E+05  0.13491E+05  0.16043E+00  0.13363E+05  0.13498E+05  0.15770E+00  0.13311E+05
   10.5400   6.5800   8.1863  0.10405E+05  0.10961E+05  0.14669E+00  0.10861E+05  0.10992E+05  0.14445E+00  0.10845E+05
   10.5400   6.3630   8.5502  0.83669E+04  0.88620E+04  0.13412E+00  0.87830E+04  0.89100E+04  0.13231E+00  0.87937E+04
   10.5400   6.1340   8.9443  0.66880E+04  0.71268E+04  0.12269E+00  0.70642E+04  0.71853E+04  0.12124E+00  0.70930E+04
   10.5400   5.8930   9.3731  0.53121E+04  0.56983E+04  0.11217E+00  0.56484E+04  0.57625E+04  0.11105E+00  0.56889E+04
   10.5400   5.6380   9.8424  0.41893E+04  0.45272E+04  0.10273E+00  0.44872E+04  0.45937E+04  0.10189E+00  0.45345E+04
   10.5400   5.3690  10.3594  0.32785E+04  0.35721E+04  0.94126E-01  0.35397E+04  0.36381E+04  0.93518E-01  0.35900E+04
   10.5400   5.0860  10.9333  0.25442E+04  0.27974E+04  0.86181E-01  0.27709E+04  0.28607E+04  0.85777E-01  0.28213E+04
   10.5400   4.7870  11.5759  0.19560E+04  0.21728E+04  0.79025E-01  0.21509E+04  0.22322E+04  0.78795E-01  0.21995E+04
   10.5400   4.4720  12.3031  0.14881E+04  0.16726E+04  0.72482E-01  0.16541E+04  0.17272E+04  0.72400E-01  0.16997E+04
   10.5400   4.1390  13.1367  0.11188E+04  0.12747E+04  0.66633E-01  0.12589E+04  0.13241E+04  0.66678E-01  0.13006E+04
   10.5400   3.7880  14.1068  0.82968E+03  0.96070E+03  0.61340E-01  0.94695E+03  0.10049E+04  0.61492E-01  0.98440E+03
   10.5400   3.4180  15.2581  0.60530E+03  0.71484E+03  0.56564E-01  0.70261E+03  0.75393E+03  0.56807E-01  0.73571E+03
   10.5400   3.0280  16.6585  0.43282E+03  0.52412E+03  0.52298E-01  0.51293E+03  0.55847E+03  0.52618E-01  0.54180E+03
   10.5400   2.6170  18.4191  0.30153E+03  0.37759E+03  0.48526E-01  0.36704E+03  0.40769E+03  0.48914E-01  0.39196E+03
   10.5400   2.1830  20.7361  0.20271E+03  0.26644E+03  0.45397E-01  0.25607E+03  0.29292E+03  0.45845E-01  0.27745E+03
   10.5400   1.7250  24.0009  0.12917E+03  0.18324E+03  0.43035E-01  0.17255E+03  0.20682E+03  0.43546E-01  0.19086E+03
   10.5400   1.2420  29.1501  0.75101E+02  0.12183E+03  0.41938E-01  0.11016E+03  0.14317E+03  0.42527E-01  0.12572E+03
   10.5400   0.7330  39.3274  0.35822E+02  0.76182E+02  0.44978E-01  0.62703E+02  0.95435E+02  0.45752E-01  0.75229E+02
   10.5400   0.1950  84.0121  0.76379E+01  0.30059E+02  0.54262E+00  0.18529E+02  0.39763E+02  0.12296E+01  0.22487E+02
   10.5400   7.9400   6.3492  0.40225E+05  0.40627E+05  0.18715E+00  0.40124E+05  0.39923E+05  0.18173E+00  0.39200E+05
   10.5400   7.7980   6.5803  0.33282E+05  0.33719E+05  0.17056E+00  0.33328E+05  0.33186E+05  0.16591E+00  0.32622E+05
   10.5400   7.6470   6.8244  0.27463E+05  0.27916E+05  0.15580E+00  0.27612E+05  0.27520E+05  0.15182E+00  0.27080E+05
   10.5400   7.4880   7.0829  0.22601E+05  0.23053E+05  0.14231E+00  0.22817E+05  0.22764E+05  0.13893E+00  0.22422E+05
   10.5400   7.3210   7.3572  0.18549E+05  0.18987E+05  0.12992E+00  0.18804E+05  0.18782E+05  0.12706E+00  0.18515E+05
   10.5400   7.1440   7.6491  0.15172E+05  0.15590E+05  0.11878E+00  0.15447E+05  0.15450E+05  0.11637E+00  0.15242E+05
   10.5400   6.9580   7.9606  0.12365E+05  0.12757E+05  0.10852E+00  0.12646E+05  0.12667E+05  0.10651E+00  0.12505E+05
   10.5400   6.7620   8.2940  0.10036E+05  0.10400E+05  0.99147E-01  0.10313E+05  0.10348E+05  0.97479E-01  0.10221E+05
   10.5400   6.5540   8.6522  0.81059E+04  0.84408E+04  0.90754E-01  0.83731E+04  0.84179E+04  0.89386E-01  0.83187E+04
   10.5400   6.3360   9.0386  0.65138E+04  0.68185E+04  0.82930E-01  0.67654E+04  0.68167E+04  0.81825E-01  0.67386E+04
   10.5400   6.1050   9.4572  0.52041E+04  0.54794E+04  0.75905E-01  0.54375E+04  0.54927E+04  0.75027E-01  0.54310E+04
   10.5400   5.8620   9.9130  0.41321E+04  0.43784E+04  0.69427E-01  0.43450E+04  0.44019E+04  0.68746E-01  0.43527E+04
   10.5400   5.6060  10.4122  0.32585E+04  0.34769E+04  0.63488E-01  0.34502E+04  0.35067E+04  0.62977E-01  0.34673E+04
   10.5400   5.3350  10.9627  0.25502E+04  0.27425E+04  0.58149E-01  0.27209E+04  0.27759E+04  0.57785E-01  0.27440E+04
   10.5400   5.0500  11.5743  0.19795E+04  0.21470E+04  0.53220E-01  0.21294E+04  0.21816E+04  0.52981E-01  0.21554E+04
   10.5400   4.7490  12.2601  0.15225E+04  0.16674E+04  0.48760E-01  0.16528E+04  0.17016E+04  0.48628E-01  0.16800E+04
   10.5400   4.4320  13.0374  0.11591E+04  0.12834E+04  0.44671E-01  0.12711E+04  0.13160E+04  0.44630E-01  0.12978E+04
   10.5400   4.0970  13.9298  0.87225E+03  0.97804E+03  0.41010E-01  0.96753E+03  0.10085E+04  0.41046E-01  0.99292E+03
   10.5400   3.7440  14.9709  0.64755E+03  0.73698E+03  0.37682E-01  0.72779E+03  0.76487E+03  0.37783E-01  0.75122E+03
   10.5400   3.3720  16.2097  0.47302E+03  0.54820E+03  0.34675E-01  0.53996E+03  0.57336E+03  0.34832E-01  0.56112E+03
   10.5400   2.9790  17.7223  0.33866E+03  0.40167E+03  0.32040E-01  0.39406E+03  0.42417E+03  0.32243E-01  0.41286E+03
   10.5400   2.5650  19.6333  0.23617E+03  0.28897E+03  0.29707E-01  0.28169E+03  0.30899E+03  0.29951E-01  0.29818E+03
   10.5400   2.1280  22.1665  0.15878E+03  0.20333E+03  0.27762E-01  0.19606E+03  0.22123E+03  0.28043E-01  0.21042E+03
   10.5400   1.6670  25.7759  0.10094E+03  0.13914E+03  0.26292E-01  0.13147E+03  0.15538E+03  0.26611E-01  0.14396E+03
   10.5400   1.1810  31.5836  0.58140E+02  0.91785E+02  0.25613E-01  0.83126E+02  0.10687E+03  0.25983E-01  0.93970E+02
   10.5400   0.6690  43.6149  0.26776E+02  0.56643E+02  0.27738E-01  0.46222E+02  0.70697E+02  0.28238E-01  0.55125E+02
   10.5400   0.1280 121.4180  0.40106E+01  0.17026E+02  0.18747E+00  0.10326E+02  0.25319E+02  0.37004E+00  0.13894E+02
   10.5400   8.1670   6.2604  0.45177E+05  0.44910E+05  0.14459E+00  0.44342E+05  0.43791E+05  0.13998E+00  0.42977E+05
   10.5400   8.0370   6.4815  0.37470E+05  0.37362E+05  0.13105E+00  0.36921E+05  0.36487E+05  0.12709E+00  0.35852E+05
   10.5400   7.8990   6.7145  0.30996E+05  0.31006E+05  0.11901E+00  0.30664E+05  0.30328E+05  0.11562E+00  0.29835E+05
   10.5400   7.7540   6.9602  0.25586E+05  0.25678E+05  0.10804E+00  0.25412E+05  0.25156E+05  0.10515E+00  0.24773E+05
   10.5400   7.6010   7.2200  0.21069E+05  0.21215E+05  0.98114E-01  0.21009E+05  0.20818E+05  0.95659E-01  0.20521E+05
   10.5400   7.4400   7.4952  0.17305E+05  0.17485E+05  0.89075E-01  0.17326E+05  0.17187E+05  0.87001E-01  0.16956E+05
   10.5400   7.2700   7.7876  0.14172E+05  0.14371E+05  0.80906E-01  0.14248E+05  0.14150E+05  0.79163E-01  0.13972E+05
   10.5400   7.0910   8.0989  0.11571E+05  0.11776E+05  0.73470E-01  0.11681E+05  0.11617E+05  0.72014E-01  0.11478E+05
   10.5400   6.9020   8.4314  0.94134E+04  0.96190E+04  0.66753E-01  0.95453E+04  0.95069E+04  0.65546E-01  0.93994E+04
   10.5400   6.7020   8.7877  0.76266E+04  0.78274E+04  0.60737E-01  0.77702E+04  0.77524E+04  0.59746E-01  0.76687E+04
   10.5400   6.4920   9.1709  0.61508E+04  0.63425E+04  0.55173E-01  0.62979E+04  0.62956E+04  0.54369E-01  0.62302E+04
   10.5400   6.2700   9.5847  0.49352E+04  0.51154E+04  0.50176E-01  0.50804E+04  0.50898E+04  0.49532E-01  0.50384E+04
   10.5400   6.0360  10.0337  0.39374E+04  0.41042E+04  0.45622E-01  0.40767E+04  0.40944E+04  0.45117E-01  0.40539E+04
   10.5400   5.7890  10.5235  0.31217E+04  0.32743E+04  0.41500E-01  0.32524E+04  0.32758E+04  0.41114E-01  0.32436E+04
   10.5400   5.5280  11.0609  0.24583E+04  0.25962E+04  0.37797E-01  0.25787E+04  0.26056E+04  0.37513E-01  0.25798E+04
   10.5400   5.2530  11.6548  0.19215E+04  0.20444E+04  0.34414E-01  0.20303E+04  0.20590E+04  0.34216E-01  0.20381E+04
   10.5400   4.9640  12.3164  0.14895E+04  0.15979E+04  0.31275E-01  0.15864E+04  0.16152E+04  0.31151E-01  0.15981E+04
   10.5400   4.6580  13.0604  0.11442E+04  0.12390E+04  0.28508E-01  0.12295E+04  0.12577E+04  0.28445E-01  0.12435E+04
   10.5400   4.3360  13.9067  0.86987E+03  0.95190E+03  0.25961E-01  0.94381E+03  0.97078E+03  0.25951E-01  0.95881E+03
   10.5400   3.9960  14.8827  0.65359E+03  0.72394E+03  0.23685E-01  0.71698E+03  0.74227E+03  0.23718E-01  0.73196E+03
   10.5400   3.6370  16.0274  0.48437E+03  0.54432E+03  0.21663E-01  0.53818E+03  0.56162E+03  0.21732E-01  0.55253E+03
   10.5400   3.2590  17.3992  0.35297E+03  0.40366E+03  0.19823E-01  0.39809E+03  0.41964E+03  0.19923E-01  0.41139E+03
   10.5400   2.8600  19.0894  0.25183E+03  0.29459E+03  0.18211E-01  0.28935E+03  0.30917E+03  0.18337E-01  0.30141E+03
   10.5400   2.4390  21.2518  0.17467E+03  0.21078E+03  0.16825E-01  0.20567E+03  0.22402E+03  0.16972E-01  0.21644E+03
   10.5400   1.9960  24.1712  0.11629E+03  0.14701E+03  0.15605E-01  0.14177E+03  0.15906E+03  0.15773E-01  0.15129E+03
   10.5400   1.5280  28.4546  0.72579E+02  0.99345E+02  0.14727E-01  0.93611E+02  0.11056E+03  0.14916E-01  0.10205E+03
   10.5400   1.0340  35.7328  0.40145E+02  0.64400E+02  0.14463E-01  0.57601E+02  0.75194E+02  0.14685E-01  0.65090E+02
   10.5400   0.5130  53.1275  0.16267E+02  0.38325E+02  0.17511E-01  0.29676E+02  0.48624E+02  0.17912E-01  0.35737E+02
   10.5400   8.3570   6.1886  0.49754E+05  0.48749E+05  0.10349E+00  0.48117E+05  0.47201E+05  0.99907E-01  0.46293E+05
   10.5400   8.2380   6.4020  0.41363E+05  0.40643E+05  0.92713E-01  0.40152E+05  0.39409E+05  0.89662E-01  0.38701E+05
   10.5400   8.1110   6.6261  0.34295E+05  0.33803E+05  0.83479E-01  0.33422E+05  0.32827E+05  0.80875E-01  0.32278E+05
   10.5400   7.9780   6.8619  0.28371E+05  0.28052E+05  0.74997E-01  0.27757E+05  0.27285E+05  0.72786E-01  0.26859E+05
   10.5400   7.8370   7.1105  0.23411E+05  0.23224E+05  0.67538E-01  0.22996E+05  0.22625E+05  0.65664E-01  0.22296E+05
   10.5400   7.6890   7.3729  0.19278E+05  0.19186E+05  0.60740E-01  0.19011E+05  0.18722E+05  0.59160E-01  0.18467E+05
   10.5400   7.5320   7.6506  0.15836E+05  0.15814E+05  0.54783E-01  0.15678E+05  0.15457E+05  0.53453E-01  0.15260E+05
   10.5400   7.3670   7.9452  0.12976E+05  0.13002E+05  0.49344E-01  0.12898E+05  0.12730E+05  0.48232E-01  0.12579E+05
   10.5400   7.1930   8.2584  0.10603E+05  0.10662E+05  0.44459E-01  0.10582E+05  0.10457E+05  0.43534E-01  0.10340E+05
   10.5400   7.0100   8.5923  0.86367E+04  0.87177E+04  0.40014E-01  0.86558E+04  0.85656E+04  0.39251E-01  0.84753E+04
   10.5400   6.8160   8.9495  0.70099E+04  0.71044E+04  0.36115E-01  0.70565E+04  0.69940E+04  0.35489E-01  0.69241E+04
   10.5400   6.6120   9.3328  0.56668E+04  0.57681E+04  0.32552E-01  0.57310E+04  0.56903E+04  0.32045E-01  0.56361E+04
   10.5400   6.3970   9.7458  0.45599E+04  0.46633E+04  0.29331E-01  0.46345E+04  0.46105E+04  0.28925E-01  0.45682E+04
   10.5400   6.1690  10.1928  0.36503E+04  0.37524E+04  0.26518E-01  0.37298E+04  0.37189E+04  0.26198E-01  0.36858E+04
   10.5400   5.9300  10.6788  0.29056E+04  0.30035E+04  0.23886E-01  0.29858E+04  0.29844E+04  0.23640E-01  0.29583E+04
   10.5400   5.6770  11.2102  0.22984E+04  0.23906E+04  0.21575E-01  0.23765E+04  0.23821E+04  0.21390E-01  0.23614E+04
   10.5400   5.4100  11.7951  0.18057E+04  0.18908E+04  0.19500E-01  0.18795E+04  0.18900E+04  0.19367E-01  0.18733E+04
