                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   3.7880  14.1068  0.28955E+04  0.33382E+04  0.31811E+00  0.32961E+04  0.34971E+04  0.31898E+00  0.34328E+04
   10.5400   3.4180  15.2581  0.21026E+04  0.24717E+04  0.29001E+00  0.24344E+04  0.26125E+04  0.29138E+00  0.25554E+04
   10.5400   3.0280  16.6585  0.14952E+04  0.18016E+04  0.26477E+00  0.17675E+04  0.19253E+04  0.26655E+00  0.18731E+04
   10.5400   2.6170  18.4191  0.10349E+04  0.12886E+04  0.24209E+00  0.12565E+04  0.13965E+04  0.24421E+00  0.13474E+04
   10.5400   2.1830  20.7361  0.69029E+03  0.90094E+03  0.22299E+00  0.86948E+03  0.99523E+03  0.22541E+00  0.94704E+03
   10.5400   1.7250  24.0009  0.43570E+03  0.61211E+03  0.20759E+00  0.57981E+03  0.69508E+03  0.21029E+00  0.64555E+03
   10.5400   1.2420  29.1501  0.25034E+03  0.40008E+03  0.19699E+00  0.36501E+03  0.47389E+03  0.20003E+00  0.42006E+03
   10.5400   0.7330  39.3274  0.11752E+03  0.24372E+03  0.19778E+00  0.20361E+03  0.30867E+03  0.20148E+00  0.24693E+03
   10.5400   0.1950  84.0121  0.24023E+02  0.92637E+02  0.98655E+00  0.58103E+02  0.12149E+03  0.19097E+01  0.70695E+02
   10.5400   7.9400   6.3492  0.14770E+06  0.14840E+06  0.71668E+00  0.14686E+06  0.14512E+06  0.69394E+00  0.14285E+06
   10.5400   7.7980   6.5803  0.12171E+06  0.12275E+06  0.64213E+00  0.12156E+06  0.12029E+06  0.62296E+00  0.11852E+06
   10.5400   7.6470   6.8244  0.10002E+06  0.10127E+06  0.57870E+00  0.10034E+06  0.99452E+05  0.56253E+00  0.98069E+05
   10.5400   7.4880   7.0829  0.81988E+05  0.83337E+05  0.52128E+00  0.82612E+05  0.82008E+05  0.50770E+00  0.80931E+05
   10.5400   7.3210   7.3572  0.67031E+05  0.68400E+05  0.46861E+00  0.67837E+05  0.67450E+05  0.45729E+00  0.66610E+05
   10.5400   7.1440   7.6491  0.54631E+05  0.55973E+05  0.42282E+00  0.55536E+05  0.55315E+05  0.41341E+00  0.54662E+05
   10.5400   6.9580   7.9606  0.44374E+05  0.45654E+05  0.38070E+00  0.45314E+05  0.45217E+05  0.37295E+00  0.44707E+05
   10.5400   6.7620   8.2940  0.35901E+05  0.37101E+05  0.34274E+00  0.36836E+05  0.36831E+05  0.33642E+00  0.36433E+05
   10.5400   6.5540   8.6522  0.28911E+05  0.30023E+05  0.31008E+00  0.29816E+05  0.29881E+05  0.30496E+00  0.29568E+05
   10.5400   6.3360   9.0386  0.23166E+05  0.24183E+05  0.27922E+00  0.24020E+05  0.24132E+05  0.27514E+00  0.23887E+05
   10.5400   6.1050   9.4572  0.18458E+05  0.19379E+05  0.25248E+00  0.19250E+05  0.19394E+05  0.24928E+00  0.19200E+05
   10.5400   5.8620   9.9130  0.14616E+05  0.15441E+05  0.22787E+00  0.15340E+05  0.15503E+05  0.22543E+00  0.15349E+05
   10.5400   5.6060  10.4122  0.11495E+05  0.12228E+05  0.20551E+00  0.12146E+05  0.12319E+05  0.20370E+00  0.12195E+05
   10.5400   5.3350  10.9627  0.89712E+04  0.96169E+04  0.18602E+00  0.95509E+04  0.97257E+04  0.18474E+00  0.96254E+04
   10.5400   5.0500  11.5743  0.69436E+04  0.75068E+04  0.16798E+00  0.74529E+04  0.76235E+04  0.16715E+00  0.75415E+04
   10.5400   4.7490  12.2601  0.53242E+04  0.58113E+04  0.15196E+00  0.57667E+04  0.59293E+04  0.15151E+00  0.58614E+04
   10.5400   4.4320  13.0374  0.40397E+04  0.44575E+04  0.13731E+00  0.44200E+04  0.45719E+04  0.13717E+00  0.45148E+04
   10.5400   4.0970  13.9298  0.30286E+04  0.33840E+04  0.12449E+00  0.33520E+04  0.34918E+04  0.12461E+00  0.34430E+04
